iter	Passed	Remaining
0	161	161084
1	163	81738
2	166	55328
3	169	42129
4	171	34187
5	174	28911
6	176	25097
7	179	22261
8	182	20070
9	184	18301
10	187	16856
11	190	15649
12	192	14615
13	194	13729
14	197	12965
15	199	12294
16	202	11711
17	205	11198
18	208	10745
19	210	10334
20	213	9951
21	216	9612
22	218	9301
23	221	9013
24	224	8746
25	226	8502
26	229	8276
27	232	8065
28	234	7868
29	237	7692
30	240	7524
31	243	7368
32	246	7221
33	249	7089
34	252	6958
35	255	6837
36	258	6725
37	261	6615
38	264	6510
39	267	6413
40	270	6322
41	273	6232
42	276	6146
43	279	6064
44	282	5987
45	285	5917
46	288	5852
47	291	5788
48	295	5725
49	298	5667
50	301	5607
51	304	5550
52	307	5499
53	310	5445
54	313	5394
55	317	5344
56	320	5297
57	323	5248
58	326	5199
59	329	5156
60	332	5114
61	335	5072
62	338	5033
63	341	4994
64	344	4957
65	347	4924
66	351	4894
67	354	4863
68	358	4833
69	361	4799
70	364	4767
71	367	4735
72	370	4703
73	373	4674
74	376	4646
75	379	4618
76	383	4596
77	386	4568
78	389	4542
79	392	4517
80	395	4492
81	399	4467
82	402	4444
83	405	4421
84	408	4397
85	411	4373
86	414	4349
87	417	4325
88	420	4303
89	423	4281
90	426	4263
91	430	4247
92	433	4230
93	437	4213
94	440	4194
95	443	4179
96	447	4164
97	450	4150
98	454	4133
99	457	4115
100	460	4097
101	463	4081
102	466	4063
103	469	4047
104	472	4030
105	475	4014
106	479	3999
107	482	3982
108	485	3968
109	488	3953
110	492	3940
111	495	3929
112	499	3917
113	502	3904
114	505	3891
115	508	3878
116	511	3863
117	514	3848
118	517	3833
119	520	3820
120	524	3807
121	527	3793
122	530	3779
123	533	3766
124	536	3753
125	539	3739
126	542	3726
127	545	3714
128	548	3702
129	551	3689
130	554	3677
131	557	3665
132	560	3653
133	563	3642
134	566	3631
135	570	3622
136	573	3613
137	577	3606
138	581	3598
139	584	3590
140	587	3582
141	591	3573
142	594	3564
143	598	3555
144	601	3544
145	604	3534
146	607	3525
147	610	3516
148	614	3508
149	617	3498
150	620	3488
151	623	3478
152	626	3469
153	629	3460
154	633	3453
155	636	3444
156	639	3434
157	642	3425
158	645	3415
159	648	3406
160	651	3397
161	654	3387
162	658	3379
163	661	3370
164	664	3362
165	667	3353
166	670	3344
167	673	3337
168	677	3329
169	680	3322
170	683	3314
171	686	3306
172	690	3299
173	693	3292
174	696	3283
175	699	3274
176	702	3267
177	705	3259
178	708	3251
179	712	3244
180	715	3235
181	718	3227
182	721	3219
183	724	3211
184	727	3202
185	730	3195
186	733	3187
187	736	3180
188	739	3171
189	742	3164
190	745	3157
191	748	3149
192	751	3142
193	754	3134
194	757	3126
195	760	3119
196	763	3111
197	766	3104
198	769	3098
199	772	3091
200	776	3084
201	779	3078
202	782	3073
203	786	3068
204	789	3062
205	793	3056
206	796	3050
207	799	3044
208	802	3037
209	805	3031
210	808	3024
211	811	3017
212	815	3013
213	818	3007
214	822	3001
215	825	2995
216	828	2989
217	831	2983
218	834	2976
219	837	2970
220	840	2963
221	843	2957
222	846	2951
223	850	2944
224	852	2938
225	855	2931
226	858	2924
227	862	2918
228	865	2913
229	868	2907
230	871	2902
231	875	2897
232	878	2892
233	882	2887
234	885	2881
235	888	2875
236	891	2869
237	894	2863
238	897	2856
239	900	2850
240	903	2844
241	906	2838
242	909	2833
243	912	2828
244	916	2823
245	919	2817
246	922	2813
247	926	2809
248	930	2805
249	934	2802
250	938	2799
251	941	2795
252	945	2792
253	949	2787
254	952	2782
255	955	2777
256	958	2771
257	962	2767
258	965	2761
259	968	2757
260	972	2752
261	975	2749
262	979	2744
263	983	2740
264	986	2736
265	990	2732
266	994	2728
267	997	2724
268	1001	2720
269	1004	2716
270	1007	2711
271	1011	2706
272	1014	2701
273	1017	2696
274	1021	2691
275	1024	2687
276	1028	2683
277	1031	2678
278	1034	2672
279	1037	2668
280	1040	2663
281	1044	2658
282	1047	2654
283	1051	2650
284	1054	2645
285	1058	2641
286	1061	2637
287	1065	2633
288	1069	2630
289	1072	2625
290	1075	2621
291	1079	2616
292	1082	2611
293	1085	2606
294	1088	2602
295	1091	2597
296	1095	2592
297	1098	2587
298	1101	2582
299	1104	2576
300	1107	2571
301	1110	2567
302	1114	2563
303	1117	2559
304	1120	2553
305	1123	2548
306	1126	2543
307	1130	2539
308	1134	2536
309	1137	2532
310	1141	2528
311	1144	2524
312	1147	2518
313	1150	2513
314	1153	2508
315	1156	2504
316	1160	2499
317	1163	2495
318	1166	2490
319	1169	2485
320	1172	2480
321	1175	2475
322	1178	2470
323	1181	2465
324	1184	2460
325	1188	2456
326	1191	2452
327	1194	2447
328	1197	2442
329	1200	2437
330	1203	2433
331	1206	2428
332	1210	2423
333	1213	2419
334	1216	2414
335	1219	2409
336	1222	2405
337	1225	2400
338	1228	2395
339	1231	2391
340	1234	2386
341	1237	2381
342	1241	2377
343	1244	2372
344	1247	2367
345	1250	2362
346	1253	2357
347	1256	2353
348	1259	2348
349	1262	2344
350	1265	2339
351	1268	2335
352	1272	2331
353	1275	2327
354	1279	2323
355	1282	2319
356	1285	2316
357	1289	2312
358	1292	2307
359	1296	2304
360	1299	2299
361	1302	2295
362	1306	2292
363	1309	2288
364	1312	2283
365	1315	2279
366	1318	2274
367	1321	2270
368	1324	2265
369	1327	2260
370	1330	2256
371	1333	2251
372	1336	2247
373	1339	2242
374	1342	2237
375	1345	2233
376	1348	2228
377	1351	2224
378	1354	2219
379	1357	2215
380	1360	2210
381	1363	2206
382	1366	2201
383	1369	2197
384	1372	2192
385	1375	2188
386	1378	2183
387	1381	2179
388	1384	2174
389	1387	2170
390	1390	2166
391	1393	2162
392	1397	2157
393	1400	2153
394	1403	2149
395	1406	2144
396	1409	2140
397	1412	2136
398	1415	2132
399	1418	2128
400	1422	2124
401	1425	2120
402	1428	2116
403	1432	2113
404	1435	2109
405	1439	2105
406	1442	2101
407	1445	2097
408	1449	2093
409	1452	2089
410	1455	2085
411	1458	2081
412	1461	2077
413	1464	2073
414	1468	2069
415	1471	2065
416	1474	2061
417	1478	2057
418	1481	2053
419	1484	2049
420	1487	2045
421	1490	2042
422	1494	2037
423	1497	2034
424	1500	2030
425	1503	2026
426	1507	2022
427	1510	2018
428	1513	2014
429	1516	2010
430	1519	2006
431	1522	2002
432	1525	1998
433	1528	1993
434	1531	1989
